"Date","Price","Open","High","Low","Vol.","Change %"
"03/23/2020","360.27","347.89","366.11","340.88","13.45M","8.24%"
"03/20/2020","332.83","342.31","350.49","332.00","10.85M","0.24%"
"03/19/2020","332.03","324.06","348.38","316.87","10.62M","5.25%"
"03/18/2020","315.47","300.77","331.50","300.03","12.59M","-1.34%"
"03/17/2020","319.75","306.19","322.90","290.25","10.01M","7.00%"
"03/16/2020","298.84","306.63","334.35","294.75","10.56M","-11.14%"
"03/13/2020","336.30","330.51","336.42","307.39","9.46M","6.68%"
"03/12/2020","315.25","326.50","335.72","307.32","12.07M","-9.91%"
"03/11/2020","349.92","358.92","362.98","344.79","6.06M","-3.90%"
"03/10/2020","364.13","356.43","364.54","347.85","7.60M","5.09%"
"03/09/2020","346.49","343.86","357.47","341.72","7.41M","-6.09%"
"03/06/2020","368.97","367.70","371.31","356.85","8.15M","-1.02%"
"03/05/2020","372.78","381.00","391.40","368.64","8.75M","-2.87%"
"03/04/2020","383.79","377.77","384.01","370.51","5.49M","4.07%"
"03/03/2020","368.77","381.03","393.52","367.40","8.36M","-3.22%"
"03/02/2020","381.05","373.11","381.36","364.50","7.00M","3.26%"
"02/28/2020","369.03","364.21","376.77","356.80","11.18M","-0.72%"
"02/27/2020","371.71","371.46","391.56","370.60","10.97M","-1.99%"
"02/26/2020","379.24","366.31","382.00","365.00","8.96M","5.32%"
"02/25/2020","360.09","372.00","375.65","357.72","6.48M","-2.34%"
"02/24/2020","368.70","364.76","372.82","361.00","6.94M","-2.99%"
"02/21/2020","380.07","385.33","387.32","377.90","3.94M","-1.54%"
"02/20/2020","386.00","386.56","389.70","376.68","4.08M","-0.05%"
"02/19/2020","386.19","388.12","392.95","384.90","4.90M","-0.41%"
"02/18/2020","387.78","379.30","389.54","379.19","5.18M","1.94%"
"02/14/2020","380.40","381.47","385.15","379.43","3.74M","-0.26%"
"02/13/2020","381.40","376.96","385.37","376.51","4.49M","0.37%"
"02/12/2020","380.01","377.18","380.62","375.88","4.62M","1.69%"
"02/11/2020","373.69","373.75","378.11","369.72","4.77M","0.71%"
"02/10/2020","371.07","365.00","374.80","362.52","5.29M","1.17%"
"02/07/2020","366.77","365.04","371.80","363.57","4.39M","-0.05%"
"02/06/2020","366.95","369.60","371.55","362.50","3.92M","-0.74%"
"02/05/2020","369.67","375.12","375.25","362.30","6.44M","0.18%"
"02/04/2020","369.01","361.00","369.57","356.10","7.16M","3.08%"
"02/03/2020","358.00","347.24","359.63","346.28","6.67M","3.74%"
"01/31/2020","345.09","347.39","347.39","340.98","5.23M","-0.76%"
"01/30/2020","347.74","341.10","348.20","339.25","5.33M","1.33%"
"01/29/2020","343.16","349.00","349.40","338.55","7.65M","-1.54%"
"01/28/2020","348.52","345.88","352.40","342.78","6.82M","1.64%"
"01/27/2020","342.88","345.95","351.90","341.02","7.71M","-2.91%"
"01/24/2020","353.16","348.46","359.85","345.88","17.94M","1.02%"
"01/23/2020","349.60","326.04","349.88","325.01","18.20M","7.24%"
"01/22/2020","326.00","332.55","336.30","323.60","21.73M","-3.58%"
"01/21/2020","338.11","340.00","341.00","332.59","14.35M","-0.46%"
"01/17/2020","339.67","341.00","341.57","337.38","6.07M","0.31%"
"01/16/2020","338.62","343.50","343.56","335.85","5.02M","-0.13%"
"01/15/2020","339.07","338.68","343.17","336.60","5.16M","0.11%"
